行號,原文,原文長度,重點整理,處理時間,原始_20到50字的簡述(chatgpt-5),原始_全段主題,原始_總主題,原始_Unnamed: 4
22,"即我們從開始一直到執行的一個審查報告，大概就是這樣的意思。
好，我們就進入一跟三。于顥，本來你是不是說要報告第一點？
好，我們請雨蒼大致先說明一下，然後我們就進到第三個來分門別類好了，所以先把第一個現在我們收集到的一些意見，這些已經全部都放到vTaiwan裡面，對不對？
林哲瑋：問卷的部分，成果已經放到Slack的slide上面，這部分需要再跟大家報告一次嗎？如果要的話，好，OK。可以幫我投影那份投影片嗎？我剛剛丟在Slack上面。
在場人員：現在有點困難。
林哲瑋：現在有點困難？
在場人員：對。
林哲瑋：好，我就口頭跟大家敘述一下，請大家直接在Slack上面把它打開來就可以了。
主席（林委員昶佐）：大家手上都有雨蒼在Slack上面剛剛丟的檔案。
主席（洪顧問慈庸）：請大家講話之前先報上自己的大名。
林哲瑋：好。
主席（洪顧問慈庸）：我們現在都有做逐字紀錄，因為我們的速記員都不認識大家，所以要麻煩大家，謝謝。
林哲瑋：我是雨蒼、林哲瑋，我來跟大家分享一下這個問卷結果。
在場人員：你把網址丟到聊天室。
林哲瑋：已經丟聊天室了。首先，我們這個問卷大概分4個部分，第一個部分是關於立法院的網站使用經驗分享，我們主要問的人大部分都是跟NGO工作比較相關的。",531,"## 會議記錄整理

### 出現人物  
- 林哲瑋 - 報告人 / 雨蒼 - 負責說明問卷結果 - 提出問卷內容結構與調查對象，強調問卷已上傳至Slack並提供網址，說明問卷分為四個部分，主要針對NGO工作者對立法院網站的使用經驗  
- 洪顧問慈庸 - 主席 - 主導會議流程，要求參與者報名，強調逐字紀錄與溝通規範  
- 林委員昶佐 - 主席 - 肯定雨蒼提供的檔案已到位，確認在場人員可取得資料  

### 核心要點  
1. 問卷結果已完整整理並上傳至Slack，內容涵蓋立法院網站使用經驗，針對NGO工作者進行調查，分為四個部分，相關投影片與連結已公開可查。  
2. 會議強調溝通透明與參與規範，要求所有發言者先報名，並確認資料共享方式（如Slack）以提升資訊流通效率。

### 決策事項  
- 無明確決策事項

### 行動項目  
- 林哲瑋負責在Slack中確認問卷投影片可被所有人即時存取，並確保網址正確曝光  
- 所有與會人員應於會議中確認已閱讀並理解問卷內容，並於Slack中主動查詢相關資訊  

### 總結  
會議確認問卷結果已公開並聚焦於NGO工作者對立法院網站的使用經驗，強調資訊透明與即時共享，為後續審查報告提供基礎資料。",2025-09-21 00:14:24,會議進入意見回饋報告，林哲瑋分享問卷結果，重點在立法院網站使用經驗，主要受訪者多為NGO相關人員。,,,
23,"在工作上是不是使用立法院的網站？裡面有90%的人其實都會使用。再來是最常使用哪些功能呢？搜尋法案的紀錄是最多的，接下來是搜尋立委發言紀錄，另外則是立法院的影音、立法院紀錄、確認近期的議程，比較少的人會下載相關的資料做應用，行政部門、學者專家的報告也是相對比較多的。
接下來下一頁。這一頁是我剛才報告的部分，看來要花一點時間讀。
我繼續往下講。再來，立法院的網站要改善哪一部分，對立法院使用網站是最有助益的？請幫我跳到第7頁。請問在使用立法院網站方面，哪些是比較常見的困擾？最多的困擾其實是立法院的紀錄不容易用關鍵字來搜尋，第二高的是立法院各委員會的議程資料開放不足，然後是法案沒有單一的分享頁面，就是當他想要倡議的時候，沒有辦法有一個頁面可以讓大家來分享，接下來依序則是影音不容易搜尋、沒有呈現議題投票的界面、立委的資料不完整、影音播放軟體不容易使用等等。
再來，改善哪一部分對大家最有幫助？第一個是強化資料開放、用結構化的資料來開放，再來是釋出更多供公眾利用的資料，後面的部分則是提供關心法案的訂閱功能，看起來大家滿煩惱的是這個問題，在vTaiwan這個地方及現場其實都有收到類似的問題；",495,"## 會議記錄整理

### 出現人物  
- 會議主持人 / 報告人 - 無明確職稱 - 主導議題說明與引導討論，提出網站使用現況與使用者困擾，並引導對改善方向的探討  
- 使用者群體（含行政部門、學者專家） - 無明確職稱 - 提供網站使用行為與需求的實際觀察，反映常見功能使用與困擾  
- vTaiwan 平台使用者 - 無明確職稱 - 在現場與平台中反映「法案訂閱功能」缺失的問題，作為改善建議的參考  

### 核心要點  
1. 立法院網站最常使用的功能為搜尋法案與立委發言紀錄，其次為影音、議程確認；資料下載與專家報告使用較少，顯示使用者更重視即時資訊與搜尋效率。  
2. 使用者主要困擾集中在資料難以關鍵字搜尋、議程資料開放不足、法案無單一分享頁面，以及影音與議題投票界面缺乏，顯示資料結構化與使用者體驗需強化。

### 決策事項  
- 本段無明確決策事項。

### 行動項目  
- 推動立法院網站資料結構化開放，提升關鍵字搜尋與議程、法案資訊的可見性與易用性。  
- 建立法案單一分享頁面，提供關心法案的公眾訂閱功能，以改善資訊傳遞與參與機制。

### 總結  
立法院網站使用者重視搜尋效率與資訊透明度，亟需透過資料結構化與訂閱功能提升使用體驗與參與便利性。",2025-09-21 00:14:45,問卷結果顯示，多數受訪者常用立院網站查法案與發言紀錄，但困擾在於紀錄難以搜尋、委員會資料不足、缺乏法案分享頁面；建議強化資料開放並提供法案訂閱功能。,,,
24,"再來是立法院轉播會議過程的時候，要提供會議相關的資料，還有要公開法制局的研究報告等等；還有像立法委員的聯絡方式應該提供email，這個其實也滿多人支持的；然後還有更便利的影音使用界面。
再來，後面還有一些比較零散的具體建議，包含希望可以看到法案修正的進度和進展；下面有一個比較具體的建議，就是希望可以從本屆立委就可以看到依政黨分類，還是依各個不同的委員會來分類這些立委；或者是要點很多層，希望有一些比較簡化的方式。
再來是關於遊說立委的經驗分享。在工作上有遊說立委的經驗方面，其實74.2%參與問卷的人都有過相關的經驗。遊說的目的大部分還是希望可以推動特定的政策、希望議題被關心，或者是召開公聽會等等，也有少部分是希望可以請立委來幫忙協調個案。
是否依照遊說法進行登記？如果沒有，可能是哪些原因呢？第一個最多的其實是不知道怎麼依照遊說法來登記，也有人是不希望自己的遊說狀況被公開，也不知道為什麼遊說需要登記。
遊說方面最擔心的困擾，則是遊說公關不清楚立委過往對這個議題的看法是什麼，也就是說，立委過去的投票資訊沒有公開，所以他們不知道立委對議題的看法是什麼。再來，有人會覺得說被公開可能會造成困擾，或者是不明白這個法案的討論狀況",514,"## 會議記錄整理

### 出現人物  
- 會議參與者（無具體姓名） - 會議參與者與建議提出者 - 提出公開法制局研究報告、提供立委聯絡方式、改善影音界面、建議法案進度透明化、推動立委分類方式簡化  
- 參與問卷調查者（無具體姓名） - 遊說經驗提供者 - 提供74.2%有遊說經驗的數據，說明遊說目的與困擾  
- 無具體人物提及 - 關於遊說法登記與立委投票資訊公開的討論  

### 核心要點  
1. 公開立法過程資訊與透明化：應公開法制局研究報告、提供立委聯絡方式（如Email），並建立更便利的影音使用界面，提升公眾對立法過程的可及性與參與感。  
2. 遊說與立委資訊透明之困擾：遊說者普遍不清楚如何依遊說法登記，且因立委過去投票紀錄未公開，導致無法掌握其立場，造成資訊不對稱與遊說效能下降。

### 決策事項  
- 本段無明確決策內容。

### 行動項目  
- 提供立法委員聯絡資訊（含Email）並公開法制局研究報告。  
- 推動建立更友善、易使用的影音轉播與資訊查詢界面。  
- 考慮公開立委過去投票資訊，以提升遊說者對議題立場的掌握。

### 總結  
本次會議強調提升立法過程透明度與資訊可及性，並針對遊說者資訊不對稱問題提出改善建議。",2025-09-21 00:15:03,問卷建議立院強化會議資料與研究報告公開、提供委員聯絡方式與便利影音；多數人有遊說經驗，但常因登記流程不明、投票紀錄不透明而感到困擾。,,,
25,"那或者是不知道立法院之前有沒有討論，所以改善哪邊在哪裡會有紀錄呢？他們希望可以找到立法院過往的討論紀錄，這樣就可以了解立委的看法，希望便於瞭解立委的發言紀錄，後面則是比較便利的遊說登記。
另外，還有一些具體建議，像遊說法已經實施啦，是不是有落實的罰則？如果無法做到強制大財團登記，那其實好像也只是在規範小團體的遊說狀況而已。也有人已經提過，覺得遊說登記都是紙本作業其實很麻煩，然後有人會覺得遊說跟政治獻金可能會引起誤會跟誤讀，可能需要用推廣宣導來讓大家瞭解，並且改變這個認知落差。
在立法院公聽會的參與經驗分享裡面，參與過公聽會的委員會辦理的有93%，立委自行辦理的是82%，裡面困擾最多其實是無法追蹤公聽會後續的作為，還有些立委辦理的沒有辦法線上直播，需要自己來處理，以及邀請的講者不夠多元，或者是公聽會只有一種形式，希望可以有更多的不同形式等。
再來，立法院公聽會應注意改善哪邊？最多人其實希望後續的推動狀況希望可以公開讓與會者都瞭解，然後公聽會可以有不同的形式，像是聽證會、工作坊、焦點座談等，然後再來是紀錄的部分希望改善，希望能有影音跟逐字的紀錄。至於有沒有具體建議？大部分有一些是暫無，",498,"## 會議記錄整理

### 出現人物  
- 會議參與者（未具體命名） - 一般參與者 / 建議提出者 - 提出遊說法落實罰則疑問、紙本登記麻煩、遊說與政治獻金認知誤讀問題，並建議加強宣導  
- 立委（未具體命名） - 立法院委員 / 公聽會主辦者 - 分享公聽會參與經驗，指出後續推動不透明、無法追蹤、直播不足、講者多元性不足等問題  
- 會議參與者（未具體命名） - 建議者 - 提出公聽會應改進形式（如聽證會、工作坊、焦點座談）、加強影音與逐字紀錄，並呼籲公開後續推動狀況  

（本段無具體人物提及）

### 核心要點  
1. 公聽會後續推動狀況缺乏透明度與追蹤機制，與會者難以掌握結果，且多數立委辦理的公聽會無線上直播，影響參與廣度與參與感。  
2. 遊說法實務執行存在落實缺口，僅能規範小團體，大財團缺乏強制登記機制；同時紙本登記流程繁瑣，且遊說與政治獻金易被誤解，需加強宣導以消除認知落差。

### 決策事項  
- 本段無明確決策內容。

### 行動項目  
- 建議推動公聽會後續推動狀況公開，並建立追蹤機制。  
- 推動公聽會形式多元化，包含聽證會、工作坊、焦點座談等，並加強影音與逐字紀錄保存。  
- 設計並推動遊說登記與政治獻金的公眾宣導計畫，以釐清認知誤讀與落差。

### 總結  
會議聚焦於公聽會運作透明度不足與遊說制度落實困難，呼籲改善後續追蹤、形式多元與公眾認知誤解問題。",2025-09-21 00:15:25,受訪者希望能查閱立院過往討論紀錄，並改善遊說登記流程與宣導；公聽會部分則建議增加後續追蹤公開、多元形式舉辦，並提供影音與逐字紀錄。,"「問卷回饋：強化資訊透明與公聽會追蹤，拓展公民多元參與」

「受訪者建議提升網站與影音公開、完善公聽會機制」",,
26,"但是有很多是說公聽會是許多立委應付遊說團體的方式，就是辦個公聽會好像給你交代了，所以希望有可執行性，然後IVOD跟Youtube的國會串流應該要有針對單一公聽會的直播內容，然後希望國會串流可以有方法下載影片，然後多元形式的公聽會應該會比較有幫助，後續的追蹤機制也是關鍵。
最後關於旁聽的部分，旁聽過立法院委員會的有88.9%，旁聽過院會的比較少，有44.4%。比較大的困擾，就是一般人比較難登記旁聽院會。再來則是空間狹小，不知道要坐在什麼地方，記者攝影機太多看不到前面，還有有時候也不知道立委討論到哪裡了，最後則是立法院的無障礙設施是不足的。
再者，最多希望可以改善的地方應該是劃設特定的媒體專區，避免干擾旁聽，還有立法院的院會要開放民眾旁聽，然後希望立法院能有更多的空間開放旁聽，或者是旁聽證的換取，相信大家應該都感受過，應該更趨簡便，並強化立法院無障礙設施。有關具體的建議，如果立法的影音系統做得太好，那是不是不用讓旁聽的程序太過簡便，因為讓大家可以線上看影片就可以了，反而做好影音紀錄，還有手語翻譯可能是比較重要的。
關於相關系列活動，其實96.7%都希望收到相關的活動訊息跟通知，然後60%願意參加實體、60%願意參加線上。",516,"## 會議記錄整理

### 出現人物  
- 一般民眾代表 - 未具體命名 - 主要貢獻為提出公聽會可執行性、影音串流需求、旁聽困擾與改善建議  
- 立委（立法委員） - 未具體命名 - 主要貢獻為被提及參與公聽會與院會的議事流程，反映民眾對旁聽難度與空間問題的擔憂  
- 媒體與公眾參與者 - 未具體命名 - 主要貢獻為提出媒體專區需求、影音下載、手語翻譯與多元參與形式的建議  

（本段無具體人物提及）

### 核心要點  
1. 公聽會應具備可執行性，並推動IVOD與YouTube國會串流，提供單一公聽會直播內容及影片下載功能，強化影音紀錄與手語翻譯，提升參與透明度與可及性。  
2. 改善民眾旁聽體驗，包括劃設媒體專區、開放院會旁聽、擴大空間、簡化旁聽證申請流程，並強化無障礙設施，同時評估影音系統完善後是否可減少實體旁聽需求。

### 決策事項  
- 本段無明確決策事項。

### 行動項目  
- 推動國會串流平台整合單一公聽會直播內容，並提供影片下載功能。  
- 設計更簡便的旁聽證申請流程，並擴大開放院會旁聽空間與媒體專區。  
- 評估影音系統成熟度後，是否可減少實體旁聽需求，並優先強化手語翻譯與無障礙設施。  
- 建立並執行民眾參與活動的訊息通知機制，並評估實體與線上參與的可行性與需求。

### 總結  
會議強調公聽會需具備可執行性與透明度，並提出優化影音串流、旁聽體驗與無障礙設施等關鍵改善方向，以提升民眾參與與議事可及性。",2025-09-21 00:15:48,問卷建議公聽會應具可執行性並完善追蹤，影音串流可單獨下載；旁聽則盼開放院會、增設媒體專區與無障礙設施，同時多數人希望獲得活動通知並參與實體或線上活動。,,,
27,"比較零散的意見，包含如何確定流程的公平正義和可信度，然後希望立法院在人權跟相關的法案上要更努力地推動與關注，資訊搜尋可以更直覺。如果真的希望公民加入，應該給予階段性的訓練及宣導，而不是直接就開放，否則就會變成少數菁英份子的專利，應該要接觸本來就比較少參與的忙碌上班族，有人會希望可以更容易取得相關的資訊。還有量化資訊必須公開輔以質化的資料，立法院的法制局應該要讓NGO知道他們在做什麼，也可以辦一些立法院各個單位跟NGO那種有簡短跟問答時間的交流。委員雖然有政黨和各自的立場，但是立法院的意義應該是讓多元的委員一起達到共識並共同來參與，所以委員會用抽籤方式決定應該是比較荒謬的，應該由參選者來表達自己的專業知識，而非選後靠助理。公民社會除了監督以外，應該也是伙伴，故而希望可以公開揭露立委背後的利益結構，瞭解立委對議題的主張。也有人說，立法院加油，請大家加油。
再來是期待部分。希望可以說到做到，並產生實際效用，同時更公開透明，讓公民可以參與中間的立法過程，而且意見要多元，不是只有透明而已，還要讓多數人可以明白，讓大家可以簡便登記等等。
一般民眾是透過媒體放大特定片段，例如打架、潑水，但更進一步的社會公民是透過觀看影片與網站來理解",517,"## 會議記錄整理

### 出現人物  
- 公民社會代表 - 未明確職位 - 提出應推動立法透明度、公開利益結構、加強公民參與機制，並主張公民社會應為立法過程的「夥伴」而非僅「監督者」  
- NGO代表 - 未明確職位 - 呼籲立法院法制局主動公開作業內容，並建議舉辦與NGO的簡短問答交流活動  
- 委員（含政黨立場） - 立法院委員 - 強調委員應以專業知識參與，反對僅依抽籤方式產生，呼籲應由參選者展現專業與立場  
- 忙碌上班族 - 未明確職位 - 表達對參與門檻高的憂慮，呼籲應針對此群體設計更直覺、易取得資訊的參與方式  

（本段無具體人物提及）

### 核心要點  
1. 強調立法過程應具備公平正義與可信度，需透過公開利益結構、專業參與機制與階段性訓練，讓多元公民（特別是忙碌上班族）能真正參與，避免僅由少數菁英掌握。  
2. 呼籲立法院提升透明度與實際效用，推動資訊公開（量化與質化並重）、建立公民與立法機構的互動平台（如問答交流），並讓立法過程更直覺、易參與，使意見多元且可被理解。

### 決策事項  
- 本段無明確決策內容。

### 行動項目  
- 立法院法制局應主動向NGO公開其作業內容，並規劃定期舉辦與各單位的簡短問答交流活動。  
- 建議設計階段性公民訓練與宣導計畫，針對忙碌上班族等少數參與群體，提升資訊可及性與參與門檻。  
- 推動立法流程中資訊公開的「量化+質化」並重，並建立更直覺的公民參與管道（如簡便登記機制）。

### 總結  
本會議強調立法過程應超越表面透明，實質深化公民參與，透過公開利益結構、專業參與與易及資訊，讓多元社會群體真正能參與並理解立法過程。",2025-09-21 00:16:13,零散意見聚焦於提升資訊透明與可得性、公民教育與參與、立委利益結構揭露及NGO交流；期待立法院更公開透明、強化多元參與，避免淪為形式化。,,,
28,"所以網站與Youtube頻道的建置要更完備，這樣才能讓更多的進步派公民瞭解代議政治的運作！人民應積極參與立法院，不論立法或質詢都與自己生活相關，所以希望可以用電子公報方式來表達，而不是只靠媒體報導，從而讓事實偏頗。網路世界不一定要到立法院旁聽，就可以更親近、更容易使用網路，也不流於形式，但要注意不要被中國、中共給滲透了，要有相關規範來避免資料外流。
還有，希望能促成實際改變，提供回饋機制。還有很多人提到，希望可以擴充到地方議會，因為這些活動要找年輕一輩的縣市議員一起來參與，畢竟他們以後可能會變成立法委員，若可以熟悉議事規則的話，就可以從串聯中央與地方做起。希望可以突破同溫層，留下方便檢閱的紀錄。最後，有沒有另外推薦的民間團體或專家？包括愛兒親師協會、中華民國兒童權益促進會的王理事長，也有人希望能有專業的代表，如青年代表、普通勞工代表、身心障礙代表，要多元化，這點我們有做到一些。臺南新芽、臺中好民是做議會監督的團體，以及藝術創作者工作坊，希望把NGO裡使用新媒體、最常使用立法院網站的人找出來，因為NGO最常派出來的代表不一定熟悉科技工具。最後，開放相關活動，方便倡議時間，大部分都與平日相關，平日的上午、下午與晚上等等。",516,"## 會議記錄整理

### 出現人物  
- 無具體人物提及 - 本段無具體人物提及  
- 王理事長 - 中華民國兒童權益促進會理事長 - 提出愛兒親師協會與兒童權益相關團體作為推薦參考  
- 臺南新芽 - 民間議會監督團體 - 被推薦為具備新媒體使用經驗的民間團體  
- 臺中好民 - 民間議會監督團體 - 被推薦為具備新媒體使用經驗的民間團體  
- 藝術創作者工作坊 - 民間團體 - 被推薦為具備新媒體使用經驗的民間團體  

### 核心要點  
1. 建置完整之網站與YouTube頻道，以電子公報形式呈現立法院運作，突破媒體偏頗，讓進步派公民更親近、主動參與代議政治，並強調需防範中國共產黨滲透與資料外流。  
2. 推動回饋機制與擴展至地方議會，結合年輕縣市議員參與，建立跨層級議事連結，並從NGO中遴選熟悉新媒體與科技工具的代表，提升議事透明度與多元性。

### 決策事項  
- 未明確形成決策內容（僅提出建議與方向）

### 行動項目  
- 擴充議會參與至地方議會，並與年輕縣市議員串聯，熟悉議事規則  
- 選擇並邀請具備新媒體使用經驗的民間團體（如臺南新芽、臺中好民、藝術創作者工作坊）參與活動設計與內容製作  
- 建立公開、可檢閱的電子公報與回饋機制，並制定資料安全與防滲透規範  
- 評估引入青年、勞工、身心障礙等多元代表參與，強化議題代表性  

### 總結  
本會議聚焦於透過數位平台深化公民對代議政治的參與，強調透明化、多元參與與防範資訊安全風險，並推動地方議會與民間團體的整合。",2025-09-21 00:16:37,意見指出立院應強化網站與影音公開、建立回饋機制並防範資訊滲透；期盼擴展至地方議會、吸引年輕與多元代表參與，並與NGO合作以提升公民監督與倡議效能。,,,
29,"其他的就是謝謝大家，大家加油。
以上是問卷的結果。
有關vTaiwan部分現在其實是有一些問題的，問題就是vTaiwan的部分資料，第一，我們31日才收，今天剛好是31日，所以今天還未完全截止。再來，vTaiwan上面的留言現在有幾種不同的屬性，第一種有活動的回饋，而活動回饋一篇是非常多軸。另外是大家各自留言，有些留言其實只是片段，也沒有展開，這地方該如何收攏？大家是不是可以討論一下，好有一些想法？這樣我們再來收攏會比較容易，也比較可以取得大家的信賴。畢竟收攏過程其實也是使用權力的過程，什麼議題可以放入，什麼議題不能放入，這是我們在使用權力，所以我覺得討論好規範再來分類可能會好一點。
主席（林委員昶佐）：謝謝雨蒼。雨蒼剛剛講的主要是問卷的回應，我現在先跟大家確定一下，等一下還會再分享focus group三場的回應。關於網路部分，剛剛雨蒼有稍微說到，有些可能稍微發散，也沒有展開留言，很多當然是打招呼的。四場網路下來的回應與蒐集意見其實與一些比較具體的，與焦點團體有回的也滿接近的，包括一些問卷有回的也滿接近的，例如立委的個人資料不足，議事進行過程中沒有即時資料提供。剛剛雨蒼報告的是問卷部分，接著還有焦點團體的回饋、網路的回饋，我想很多會有重疊的部分，",532,"## 會議記錄整理

### 出現人物  
- 雨蒼 - 報告人 - 提出vTaiwan留言資料的問題，包括留言內容散亂、缺乏展開，並建議針對留言進行規範與分類討論，強調收攏過程涉及權力使用，需建立透明規範以獲取公眾信賴  
- 林昶佐（主席） - 主席 - 肯定雨蒼對問卷與網路回饋的報告，指出網路留言與焦點團體、問卷回應有重疊，並強調未來將分享focus group三場回饋，呼籲對留言分類與規範進行討論  

### 核心要點  
1. vTaiwan留言內容混雜，存在大量片段化、未展開的回應，需建立明確分類與規範，以確保收攏過程透明、公正，並避免權力濫用  
2. 網路留言與問卷、焦點團體回饋存在重疊，顯示意見有共通性，應透過規範化流程整合資料，提升資料品質與公信力  

### 決策事項  
- 本段無明確決策事項  

### 行動項目  
- 討論並建立vTaiwan留言的分類規範與收攏流程，明確界定何種議題可納入、何種應排除  
- 會後整理並分享focus group三場的回饋內容，作為後續分析與整合的參考  

### 總結  
會議聚焦於vTaiwan留言內容的雜亂與權力使用風險，提出需建立明確規範與分類流程，以提升意見收納的透明度與公信力。",2025-09-21 00:16:55,林哲瑋報告問卷結果後，提醒vTaiwan留言尚未截止且內容零散，需討論分類規範以確保公正；林昶佐補充網路意見多與焦點團體回饋重疊，問題集中在立委資料不足及議事資訊缺乏即時公開。,,,
30,所以重疊的部分是否就不要再重複？那我想今天比較重要的是，我們是不是接著對這些大概有了全貌的瞭解以後，可能就照我們上次分的5個主題，我們來決定是不是可以就照這5個主題分組，還是在我們從前講的這個輪廓裡面，有沒有放不進我們上次所討論5個主題的部分，如果有一些放不進去這5個主題裡面，那要怎麼辦？我們應該主要是這樣啦！也就是說，我們在分主題以及分組之後，接著應該由這些組裡面的人去把我剛剛講的這3個部分的回饋找進來，我覺得這樣會比較快，像雨蒼幾乎參與了每一個部分，如果交給雨蒼一個人，由他一直不斷的去篩選大家的資料來決定怎麼分組，可能等於最大的組頭就是他，那雨蒼會累炸。所以我們應該先討論這3個部分的輪廓大概是怎麼樣，確定一下是不是都裝得進去這5個組，如果裝不進去的話要怎麼辦，我們大概先討論這些就好。那我們就直接分組，在分組以後各組裡面的人自己要去做我們剛剛講的事情，從問卷的回饋、焦點團體的回饋跟直播的回饋裡面，去把所有跟他那一組相關的統統都抓進來，那到時候可能會發現跟其他組有重疊的狀況，我們等一下就來討論這個部分要怎麼處理，應該是這樣比較好吧！,473,"## 會議記錄整理

### 出現人物  
- 雨蒼 - 參與者/資料篩選者 - 主張避免由其個人獨力處理所有資料篩選，擔心會導致過度負擔，強調應由各組共同參與分組與回饋整合  
- 會議主持人（未命名） - 討論引導者 - 提出分組策略與流程規劃，明確建議先確認5個主題是否涵蓋全部內容，再決定是否分組  

### 核心要點  
1. 以先前定義的5個主題為基礎進行分組，先確認所有回饋內容是否能完整納入，若無法涵蓋則需重新調整主題或分組邏輯  
2. 各組應自主收集問卷、焦點團體與直播三類回饋資料，並由組內成員共同處理，避免過度集中於單一成員（如雨蒼）  

### 決策事項  
- 未明確決策是否採用5個主題分組，僅決定先討論該結構是否能涵蓋全部內容  

### 行動項目  
- 各組需在分組後，自行從問卷、焦點團體與直播三類回饋中蒐集相關資料  
- 會議團隊需先討論5個主題是否涵蓋全部內容，若存在無法納入部分，須提出處理方式  

### 總結  
會議確認應以5個主題為框架進行分組，並由各組自主蒐集回饋資料，避免單一成員過度負擔，先檢視主題完整性再決定最終分組方式。",2025-09-21 00:17:13,會議決定依前次討論的五大主題分組，各組負責整理問卷、焦點團體與網路回饋，若遇內容重疊再行協調，以避免集中於單一成員負擔過重。,「會議決定依五大主題分組，意見回饋由工作小組先行整理」,,
31,"主席（洪顧問慈庸）：我有請于顥就之前每一場焦點座談會議整理資料，請他們各自都丟到vTaiwan的那個pool裡面去了，所以這個部分應該是不用再另外做整理。現在如果線上有的話，那就直接丟進去，現在就是問卷這個部分可能需要幫忙丟一下，看能不能把它分類到vTaiwan上面去，就是一個一個池子都分好了，接下來各組就是直接去看他們那個池子就好了。
主席（林委員昶佐）：問卷的部分是不是還沒有放進去？
主席（洪顧問慈庸）：剩下問卷吧！是不是？
主席（林委員昶佐）：據我所知，應該是直播部分有些具體的已經有丟進去了。
林哲瑋：直播的部分有放進來了。
主席（林委員昶佐）：焦點的也有嘛！
林哲瑋：對。
主席（林委員昶佐）：那問卷呢？
林哲瑋：目前問卷是沒有放進來，那意思是說問卷要放進來嗎？
主席（林委員昶佐）：意思就是說大家現在要再看。
主席（洪顧問慈庸）：應該有很多重複的。
吳銘軒：問卷當然是要放進來，所以就是再麻煩大家，關於問卷，我補充說明一下，我們就是把問卷寄給在過去四、五年之間有參加過任何立法院公聽會的人，我們就是一個一個手動把那個名單拉下來，然後就寄給他們，就是這樣子。大概有三十幾個團體回，當然就是因為他們主要的工作有很多都跟立法院有關，所以才會回應，這是第一個",533,"## 會議記錄整理

### 出現人物  
- 洪顧問慈庸 - 主席 - 提出問卷需整理並放入vTaiwan池中，強調資料已部分進場，呼籲完成問卷歸檔  
- 林委員昶佐 - 主席 - 詢問問卷是否已放入vTaiwan，確認直播與焦點座談資料已到位，推動問卷處理  
- 林哲瑋 - 員工 - 回應直播與焦點座談資料已放入vTaiwan，確認問卷尚未完成歸檔  
- 吳銘軒 - 員工 - 明確說明問卷的寄送流程與對象，補充問卷收集方式與範圍（針對過去四至五年參與立法院公聽會者，共約三十幾個團體回應）  

### 核心要點  
1. 問卷資料尚未完整歸檔至vTaiwan，需由各組協助將問卷分類放入對應池中，並確認內容完整性與重複性  
2. 問卷將針對過去四至五年參與立法院公聽會之民眾進行手動篩選與寄送，共約三十幾個相關團體回應，資料來源具專業性與代表性  

### 決策事項  
- 確認問卷資料需補齊並正式放入vTaiwan的對應池中，作為各組後續檢視之依據  

### 行動項目  
- 各組需將問卷資料分類並上傳至vTaiwan指定池中  
- 吳銘軒負責協調問卷寄送流程與名單整理，確保覆蓋過去四至五年參與公聽會之團體  

### 總結  
會議確認問卷資料尚未完整歸檔，需由各組補齊並分類上傳，同時明確問卷寄送對象與流程，強化資料完整性與代表性。",2025-09-21 00:17:34,洪顧問說明焦點座談資料已整理上傳至 vTaiwan，問卷尚未放入，需再補充分類；林哲瑋確認直播部分已上傳。吳銘軒補充，問卷寄給近年參與過立院公聽會的團體，共約三十餘團體回覆，多與立院相關業務密切。,,,
